t,x{A=1 x__init=1},y{A=1 x__init=1},x{A=1 x__init=2},y{A=1 x__init=2},x{A=1 x__init=1.5},y{A=1 x__init=1.5},x{A=2 x__init=1},y{A=2 x__init=1},x{A=2 x__init=2},y{A=2 x__init=2},x{A=2 x__init=1.5},y{A=2 x__init=1.5},x{A=3 x__init=1},y{A=3 x__init=1},x{A=3 x__init=2},y{A=3 x__init=2},x{A=3 x__init=1.5},y{A=3 x__init=1.5}
474.7,.4077311371861473,3.020116006789401,.3771525990026128,3.2836285175822204,.5426964910065236,2.59358693845188,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
474.8,.3963445890725689,3.091322990962271,.3737425550491471,3.34950582485769,.5055413293591132,2.678387942425953,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
474.9,.38761579258289647,3.160873933285709,.3716547507859779,3.4143338351325947,.47487649949703203,2.760082340881586,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475,.3810975952323057,3.228973222604238,.3706784566106757,3.478201968973414,.4498449168994518,2.8389213371767417,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.1,.3764172323465944,3.29579178636399,.37064457117507854,3.5411769482547504,.4296394493487162,2.9151896182969237,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.2,.37326755689375185,3.3614688544574367,.37141869541878947,3.6033059141815986,.41352461641138166,2.989177487180281,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.3,.3713980166645594,3.4261148727971924,.3728952395707056,3.664619153245528,.4008482606992073,3.061161365112511,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.4,.37060608016545604,3.489814852398229,.3749925225405221,3.7251323698893017,.3910449558709574,3.1313918214033842,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.5,.3707294974063272,3.5526317014013915,.3776487775170521,3.7848484968920224,.38363343232297376,3.200087563109527,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.6,.3716395630559156,3.6146092792419684,.3808189605518261,3.8437590611816765,.3782102149426549,3.2674336763498912,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.7,.37323541028824436,3.6757750421047275,.3844722593774498,3.9018451327192363,.374441272943128,3.3335826041804473,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.8,.37543928360749357,3.7361422304221716,.38859021024450596,3.9590778833739453,.37205299710139583,3.3986566746944065,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
475.9,.37819269958561696,3.795711595937537,.39316534651397544,4.015418775210968,.37082337100034085,3.4627513332651367,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476,.38145339133032613,3.854472688902391,.39820032151761875,4.070819385542738,.37057384448686775,3.525938523349397,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.1,.38519293528107457,3.9124047335772874,.4037074686641314,4.125220860366531,.3711621592330995,3.588269881488393,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.2,.389394970736626,3.969477118002333,.4097087838704552,4.178552968323583,.3724762056731094,3.6497795669530824,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.3,.39405393913299586,4.0256495155457435,.4162363399611749,4.230732703040313,.3744288877800678,3.7104866469793736,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.4,.39917428922475146,4.080871642961456,.42333317139557375,4.281662350640507,.37695391745533974,3.7703970186480618,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.5,.4047701150645882,4.1350826433051635,.43105470328799733,4.331226898066784,.3800024374853719,3.829504880452186,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.6,.4108652161425054,4.188210061795756,.4394708453976769,4.379290601522459,.3835403690442414,3.887793779952061,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
